date,closeprice,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81
20020221,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,19.96,36.73,27.04,14.2,14.2,14.2,14.2,0,0,0,0.9,1.7,-1.9,-2.12,-3.38,-0.25,0.23,-1.16,-0.85,0.54,-0.05,-1.23,20.39,-1.23,10.31,9.34,29.31,0.56,-0.08,34.56,0.64,8.33,4.17,-88.3,-78.7,-23.47,11.5,-0.77,1,0.69,0.69,19.96,25,99.6,-6.82,-1.05,0,0,0.24,-1,20.39,20.35,14.2,0.09,0.5,33.09,12906,20.35,20.39,20.66,20.08,-12906,-12906,115.82,646.59,-0.21,-0.01,55.7,0,-0.03,-339.96,-9937.62,-0.63,-21.12
20020222,19.5,19.81,19.88,19.92,19.94,19.95,19.96,19.96,19.96,26.71,23.36,6.41,11.6,-1.38,6.41,-0.04,-0.01,-0.03,0.87,1.56,-3.5,-3.76,-5.49,1.05,0.26,-1.31,0.08,1.08,-0.05,-1.31,20.26,-1.31,5.75,3.49,20.5,1.06,-0.19,39.4,1.25,8.33,4.17,-187.74,-153.84,-84.05,41.3,-0.94,0.46,0.7,0.66,19.5,24.91,96.58,-9.64,-2.37,-1.87,-0.46,0.24,-1.46,20.26,20.21,7.5,0.1,0.36,46.21,10562,20.21,20.26,20.63,20.09,-23468,-3673.74,85.71,541.64,-0.38,-0.04,59.86,0,-0.02,-583.38,-11774.49,-0.6,-33.43
20020225,18.97,19.53,19.71,19.83,19.91,19.94,19.95,19.95,19.95,19.39,19.94,2.9,8.7,-0.61,2.9,-0.11,-0.03,-0.08,0.82,1.41,-4.68,-5.7,-7.7,2.56,1.02,-0.45,0.55,1.53,-0.21,-1.45,20.12,-1.45,2.61,1.68,10.34,1.54,-0.35,43,1.89,8.33,4.17,-186.83,-167.27,-103.53,4,-1.86,1,0.74,0.68,18.97,24.86,92.54,-10.48,-3.62,-6.68,-1.73,0.23,-2.38,20.12,19.9,3.25,0.13,0.27,53.8,12441,19.9,20.12,20.55,20.1,-35909,-10450.44,56.06,655.82,-0.15,-0.05,45.03,-0.03,-0.03,-921.52,-23220.21,-0.58,-19.52
20020226,18.74,19.27,19.53,19.72,19.87,19.92,19.94,19.94,19.95,16.97,18.65,-0.32,5.7,-3.53,-0.32,-0.18,-0.06,-0.12,0.79,1.36,-4.06,-5.99,-8.53,3.18,1.92,0.32,1.3,1.22,-0.4,-1.84,19.93,-1.84,2.61,1.6,5.94,2.01,-0.54,45.48,2.55,8.33,4.17,-180.07,-185.76,-124.14,15.58,-2.55,0.77,0.79,0.69,18.74,24.79,91.06,-9.95,-4.59,-13.43,-3.74,0.25,-3.07,19.93,19.53,2.97,0.15,0.26,57.15,12091,19.53,19.93,20.49,20.11,-48000,-9578.58,69.56,645.2,-0.22,-0.07,30.27,0,-0.04,-1068.11,-31542.59,-0.22,-21.75
20020227,19.35,19.29,19.5,19.69,19.86,19.91,19.93,19.94,19.94,40.58,31.49,-15.38,-1.33,-30.45,-15.38,-0.19,-0.08,-0.1,0.8,1.4,0.24,-2.44,-5.19,2.52,2.67,1.91,1.83,0.15,-0.53,-1,19.83,-1,25.65,13.83,17.62,2.5,-0.69,46.97,3.19,16.67,8.33,-116.55,-156.84,-101.95,78.7,-1.98,0.54,0.79,0.68,19.35,24.67,94.39,-5.24,-4.69,-17.79,-5.52,0.24,-2.46,19.83,19.3,25.65,0.15,0.65,57.15,9584,19.3,19.83,20.41,20.14,-38416,6744.3,82.57,495.3,0.06,-0.06,12.37,-0.03,0.01,-756.15,-26040.66,-0.42,-37.78
20020301,19.12,19.24,19.43,19.63,19.83,19.89,19.93,19.93,19.94,35.96,29.57,-29.01,-10.56,-42.64,-29.01,-0.21,-0.11,-0.1,0.8,1.46,-0.08,-3.15,-5.8,1.06,3.06,1.6,-0.08,-0.15,-0.61,-0.92,19.74,-0.92,17.1,9.66,13.22,3.01,-0.82,47.96,3.83,16.67,8.33,-99.65,-156.97,-107.1,33.7,-2.3,0.46,0.74,0.68,19.12,24.51,95.79,-7.09,-5.06,-21.3,-7.3,0.24,-2.77,19.74,19.14,17.1,0.16,0.46,57.15,9603,19.14,19.74,20.3,20.15,-48019,-3340.17,87.69,502.25,0.02,-0.06,14.11,-0.01,-0.04,-870.29,-29172.07,-0.21,-34.06
20020304,19.81,19.43,19.5,19.65,19.83,19.89,19.93,19.93,19.94,54.59,41.28,-30.53,-17.21,-32.05,-30.53,-0.17,-0.12,-0.05,0.8,1.52,3.19,0.54,-2.05,-0.94,2.64,0.61,0.54,-1.07,-0.51,-0.38,19.7,-0.38,42.75,30.59,23.05,3.58,-0.88,44.96,4.46,25,12.5,-20.74,-77.54,-58.96,62.1,-2.06,0.62,0.79,0.7,-0.58,24.36,101.59,-2.65,-4.69,-21,-8.28,0.23,-2.08,19.7,19.2,42.75,0.15,0.78,20.97,13878,19.2,19.7,20.23,20.16,-34141,0,80.95,700.56,0.27,-0.04,34.83,0.01,0.01,-369.46,-25814.49,0.38,-1.84
20020305,19.73,19.53,19.54,19.66,19.83,19.89,19.92,19.93,19.94,52.47,40.43,-20.32,-18.25,-10.11,-20.32,-0.14,-0.12,-0.01,0.81,1.59,1.96,0.53,-2.17,-1.4,1.43,0.46,-1.15,-0.38,-0.28,-0.77,19.63,-0.77,39.78,28.46,21.44,4.17,-0.94,41.8,5.12,25,12.5,-5.87,-63.34,-55.06,35.06,-2.36,0.77,0.76,0.73,-0.53,24.24,104.01,-1.55,-4.21,-18.93,-8.76,0.24,-2.7,19.63,19.35,44.96,0.15,0.6,11.47,15304,19.35,19.63,20.17,20.2,-49445,-9341.4,87.55,775.67,0.08,-0.04,53.91,-0.02,-0.04,-431.27,-30385.82,-0.15,8.23
20020306,21.04,20.03,19.81,19.79,19.87,19.91,19.93,19.94,19.94,73.06,56.45,-10.16,-15.55,0,-10.16,-0.01,-0.1,0.09,0.82,1.67,6.21,6.95,4.43,-2.98,-0.75,0.16,0.93,-1.92,0.14,0.46,19.67,0.46,88.48,63.3,47.7,4.84,-0.99,37.26,5.83,33.33,16.67,83.24,19.25,4.61,96.95,-1.42,1.31,0.86,0.78,0.92,24.25,112.27,4.21,-2.91,-10.87,-7.6,0.23,-1.39,19.67,19.81,100,0.15,0.8,11.67,39488,19.81,19.67,20.15,20.25,-9957,39488,91.43,1876.81,0.14,-0.03,79.24,0.08,0.01,2190.59,6690.7,1.18,156.92
20020307,21.04,20.37,20.04,19.91,19.91,19.93,19.94,19.95,19.95,73.06,56.45,-0.04,-10.38,10.08,-0.04,0.09,-0.06,0.15,0.83,1.75,4.43,6.66,4.57,-3,-2.23,0.93,-1.92,-1.23,0.42,0.54,19.73,0.54,75.56,63.3,47.7,5.64,-0.89,35.04,6.54,33.33,16.67,137.05,92.04,63.79,20.13,-2.02,0.77,0.82,0.78,1.11,24.25,108.73,2.63,-2.06,-0.51,-5.39,0.23,-1.39,19.73,20.15,75.56,0.14,0.65,29.74,70044,20.15,19.73,20.12,20.29,-9957,-70044,99.23,3329.09,0.11,-0.02,94.34,-0.02,-0.04,2190.59,-35153.77,3.58,240.18
