,closeprice,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77
20030618,9.45,8.09,7.25,6.84,7.15,8.33,10.95,0,0,0,0,0,88.57,86.41,61.23,54.22,100,100,100,100,100,100,100,100,72.73,74.26,22.67,9.32,0.47,0.39,0.31,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,150.24,161.85,260.39,244.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72.73,74.26,22.67,9.32,10393,704.61,6.78,17.39,15.24,40,65.79,3,0
20030619,10.1,8.39,7.47,6.89,7.17,8.33,10.94,0.06,0.04,0.1,0.01,0.01,90.53,88,63.37,55.62,100,100,100,100,100,100,100,100,75.18,75.79,24.81,10.77,0.52,0.42,0.33,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,158.93,173.71,291.53,296.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77.62,77.33,26.96,12.22,21034,1436.53,6.88,17.44,29.49,43.26,77.19,4,0
20030620,10.2,8.7,7.69,6.94,7.19,8.32,10.93,0.11,0.08,0.19,0.02,0.01,90.8,88.23,63.68,55.83,97.52,98.15,98.3,98.3,92.57,94.44,94.91,94.91,77.23,77.15,26.83,12.17,0.57,0.45,0.34,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,150.82,179.59,310.98,340.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,81.35,79.86,30.86,14.96,33791,1562.84,0.99,15.25,26.71,42.66,77.39,5,0
20030623,9.5,8.89,7.87,6.99,7.2,8.32,10.92,0.08,0.07,0.15,0.02,0.01,74.36,77.57,60.03,54.03,90.39,93.41,94.16,94.16,76.12,83.92,85.88,85.88,71.65,73.43,26.27,12.05,0.6,0.48,0.35,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,84.25,129.2,242.59,274.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54.92,62.27,24.61,11.71,27497,1130.9,-6.86,0.53,10.47,24.18,59.66,1,0
20030624,9.4,9.02,8.02,7.03,7.22,8.31,10.91,0.05,0.06,0.11,0.02,0.01,72.29,76.19,59.54,53.78,82.24,87.81,89.59,89.59,65.93,76.62,80.44,80.44,63.68,67.94,24.7,11.32,0.63,0.5,0.36,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,23.39,82.37,180.17,206.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.8,45.98,18.38,8.37,19034,1041.81,-1.05,-6.93,6.21,16.05,48.03,2,-1
20030625,9.05,9.1,8.14,7.07,7.23,8.29,10.89,0,0.03,0.03,0.01,0.01,65.21,71.49,57.84,52.91,73.19,81.31,84.55,84.55,55.1,68.31,74.48,74.48,58.65,64.42,23.75,10.9,0.65,0.51,0.36,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,12.55,71.27,166.24,197.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.5,46.85,19.02,8.79,13422,832.85,-3.72,-11.27,-4.23,10.37,36.09,3,-1
20030626,8.5,9.17,8.24,7.1,7.24,8.28,10.87,-0.09,-0.04,-0.12,0,0,55.68,64.88,55.31,51.6,62.35,73.44,78.5,78.5,40.66,57.68,66.41,66.41,52.74,60.28,22.43,10.24,0.66,0.53,0.37,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,1,-51.12,36.22,124.52,149.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.29,35.45,14.5,6.31,9891,618.26,-6.08,-10.53,-15.84,8.97,29.77,4,-1
20030627,8.75,9.24,8.35,7.13,7.25,8.27,10.85,-0.13,-0.08,-0.21,-0.01,-0.01,58.73,66.36,56.2,52.14,52.66,67.3,73.9,73.9,33.29,55.03,64.68,64.68,48.31,57.18,21.44,9.75,0.67,0.54,0.37,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,-71.36,31.81,119.34,148.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.29,35.45,14.5,6.31,13990,738.82,2.94,-6.91,-14.22,8.7,33.59,5,-1
20030630,8.85,9.26,8.45,7.17,7.26,8.26,10.83,-0.15,-0.1,-0.25,-0.02,-0.01,59.95,66.95,56.55,52.36,43.25,62.79,70.85,70.85,24.42,53.77,64.75,64.75,44.86,54.76,20.67,9.37,0.65,0.53,0.38,0.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,-74.52,30.01,116.7,149.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17.29,35.45,14.5,6.31,15879,760.41,1.14,-2.21,-6.84,2.91,29.2,1,-1
20030701,9.45,9.32,8.57,7.21,7.28,8.24,10.81,-0.11,-0.09,-0.2,-0.02,-0.01,66.56,70.25,58.56,53.63,39.94,62.07,70.68,70.68,33.32,60.63,70.34,70.34,43.18,53.32,20.35,9.26,0.66,0.55,0.38,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-7.03,60.48,140.93,187.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.07,40.31,17.46,8.24,19141,981.56,6.78,11.18,0.53,6.78,35.97,2,-1
